Company,Product_Type,Eco friendly,Country,Production_Year,Greenhouse_Gas_Emissions,Pollutants_Emitted,Water_Consumption,Energy_Consumption,Waste_Generation,Sales_Revenue
Zara,Polyester,Least,Indonesia,2020,4501,20,6111,1115,599,517729
Zara,Nylon,Least,Bangladesh,2019,4576,23,6779,1267,578,525387
Zara,Recycled_Poly,Moderate,France,2021,3335,17,4934,1104,357,509266
Zara,Cotton,Least,India,2018,4674,19,6353,1209,552,526323
Zara,Synthetic_Blend,Least,India,2022,4746,20,6588,1248,628,530258
Zara,Organic_Cotton,Most,Denmark,2019,2100,12,4332,965,191,468146
Zara,Polyester,Least,Brazil,2021,4011,19,6029,1140,585,484446
Zara,Recycled_Poly,Moderate,Mexico,2020,2767,15,5240,1117,378,457864
Zara,Microfiber,Moderate,Mexico,2022,3000,16,5640,1141,379,502362
Zara,Linen,Most,Denmark,2019,1652,10,3969,957,240,475308
Zara,Tencel,Most,Norway,2020,1836,10,4085,772,264,493274
Zara,Viscose,Moderate,France,2021,3354,16,5494,1227,348,451280
Zara,Wool,Most,Sweden,2018,1652,12,4504,1024,183,417723
Zara,Cotton,Least,Brazil,2022,5152,20,5833,1158,504,534007
Adidas,Recycled_Poly,Moderate,United States,2021,2504,13,4599,968,409,531225
Forever 21,Cotton,Least,China,2020,4299,23,6932,1161,476,528482
Adidas,Cotton,Least,India,2018,3548,20,17,914,449,484684
Adidas,Polyester,Least,Brazil,2018,3693,17,17,922,552,522740
Forever 21,Cotton,Least,China,2020,4552,19,6400,1255,532,529528
Forever 21,Linen,Most,Norway,2019,2354,9,3912,786,232,427197
Urban Outfitters,Organic_Cotton,Most,Sweden,2021,1816,11,3727,907,294,453991
Zara,Polyester,Least,Bangladesh,2021,4557,23,5787,1143,601,555495
Urban Outfitters,Recycled_Poly,Moderate,France,2021,3492,14,5090,1122,379,536199
Forever 21,Nylon,Least,Indonesia,2018,3649,19,6209,1263,527,533747
Urban Outfitters,Linen,Most,Finland,2021,1788,8,3819,831,274,436773
Zara,Microfiber,Moderate,United States,2020,3569,15,5560,1152,343,467486
Urban Outfitters,Recycled_Poly,Moderate,Italy,2019,2966,14,5294,1132,336,498559
Zara,Organic_Cotton,Most,Sweden,2018,2451,11,3790,797,182,401178
Forever 21,Nylon,Least,India,2019,3683,22,6292,1289,484,524677
Forever 21,Cotton,Least,India,2022,3841,23,6132,1146,534,483082
Forever 21,Organic_Cotton,Most,Switzerland,2020,1657,10,4658,981,292,404858
Nike,Linen,Most,Sweden,2020,1570,10,3393,748,197,431303
Zara,Tencel,Most,Finland,2019,1864,10,4668,916,239,417124
Nike,Synthetic_Blend,Least,China,2019,4313,20,18,1058,522,525012
Forever 21,Synthetic_Blend,Least,China,2018,4301,21,6832,1154,544,496050
Adidas,Synthetic_Blend,Least,India,2020,4095,17,17,975,567,504571
Forever 21,Linen,Most,Switzerland,2020,2160,11,4666,951,227,491511
Zara,Organic_Cotton,Most,Denmark,2019,1886,10,4611,706,268,425395
Forever 21,Polyester,Least,China,2018,3913,21,6226,1130,498,496412
